id,nit,nombre,actividad,contacto,teléfono,dirección,ciudad,país
1,123456789,Supermercado Exito,Venta al por menor,Juan,123-456-7890,123 Calle Principal,Medellin,Colómbia
2,987654321,Alkosto,Venta al por mayor,Juana,098-765-4321,456 Calle Principal,Bogotá,Colombia
3,111111111,Tiendas Olímpica,Venta al por menor,Roberto,111-222-3333,789 Calle Principal,Cali,Colómbia
1,123456789,Supermercado Exito,Venta al por menor,Juan,123-456-7890,123 Calle Principal,Medellin,Colómbia
5,555555555,Postobon,Venta de bebidas,Alicia,555-666-7777,101 Calle Principal,Cartgena,Colombia
6,666666666,Bavaria,Venta de bebidas,Carlos,666-777-8888,202 Calle Principal,Bucaramanga,Colómbia
7,777777777,Almacen La 14,Venta al por menor,Diana,777-888-9999,303 Calle Principal,Pereira,Colombia
5,555555555,Postobon,Venta de bebidas,Alicia,555-666-7777,101 Calle Principal,Cartgena,Colombia
9,999999999,Supertiendas Cañaveral,Venta al por menor,Eva,999-000-1111,404 Calle Principal,Santa Marta,Colómbia
10,101010101,Almacen Éxito,Venta al por menor,Francisco,101-202-3030,505 Calle Principal,Cúcuta,Colombia
11,111111112,Almacen Metro,Venta al por menor,Gracia,111-212-3131,606 Calle Principal,Villavicencio,Colómbia
9,999999999,Supertiendas Cañaveral,Venta al por menor,Eva,999-000-1111,404 Calle Principal,Santa Marta,Colombia
13,131313131,Almacen Carulla,Venta al por menor,Ana,131-232-3332,707 Calle Principal,Popayán,Colómbia
14,141414141,Almacen Olímpica,Venta al por menor,Ian,141-242-3433,808 Calle Principal,Tunja,Colombia
13,131313131,Almacen Carulla,Venta al por menor,Ana,131-232-3332,707 Calle Principal,Popayán,Colómbia
16,161616161,Almacen D1,Venta al por menor,Jack,161-262-3634,909 Calle Principal,Sincelejo,Colombia
17,171717171,Almacen Justo&Bueno,Venta al por menor,Catalina,171-272-3735,010 Calle Principal,Montería,Colómbia
18,181818181,Almacen Ara,Venta al por menor,Liam,181-282-3836,111 Calle Principal,Rioacha,Colombia
19,191919191,Almacen Makro,Venta al por mayor,Mía,191-292-3937,212 Calle Principal,Valledupar,Colómbia
17,171717171,Almacen Justo&Bueno,Venta al por menor,Catalina,171-272-3735,010 Calle Principal,Montería,Colombia
21,100000021,Almacen D1,Venta al por menor,Carlos,121-221-321,21 Calle Principal,Pasto,Colómbia
22,100000022,Almacen Ara,Venta al por menor,Diana,122-222-322,22 Calle Principal,Quibdó,Colombia
23,100000023,Almacen Olímpica,Venta al por menor,Eva,123-223-323,23 Calle Principal,Leticia,Colómbia
21,100000021,Almacen D1,Venta al por menor,Carlos,121-221-321,21 Calle Principal,Pasto,Colombia
25,100000025,Supermercado Exito,Venta al por menor,Ana,125-225-325,25 Calle Principal,Florencia,Colómbia
26,100000026,Almacen Metro,Venta al por menor,Ian,126-226-326,26 Calle Principal,San Andrés,Colombia
27,100000027,Almacen Carulla,Venta al por menor,Jack,127-227-327,27 Calle Principal,Medellin,Colómbia
25,100000025,Supermercado Exito,Venta al por menor,Ana,125-225-325,25 Calle Principal,Florencia,Colombia
29,100000029,Almacen Olímpica,Venta al por menor,Liam,129-229-329,29 Calle Principal,Cali,Colómbia
30,100000030,Almacen La 14,Venta al por menor,Liam,130-230-330,30 Calle Principal,Barranquila,Colombia
31,100000031,Almacen D1,Venta al por menor,Carlos,131-231-331,31 Calle Principal,Cartgena,Colómbia
29,100000029,Almacen La 14,Venta al por menor,Liam,129-229-329,29 Calle Principal,Cali,Colombia
33,100000033,Almacen Ara,Venta al por menor,Eva,133-233-333,33 Calle Principal,Pereira,Colómbia
31,100000031,Almacen D1,Venta al por menor,Carlos,131-231-331,31 Calle Principal,Cartgena,Colombia
35,100000035,Supermercado Exito,Venta al por menor,Ana,135-235-335,35 Calle Principal,Santa Marta,Colómbia
33,100000033,Almacen Ara,Venta al por menor,Eva,133-233-333,33 Calle Principal,Pereira,Colombia
37,100000037,Almacen Carulla,Venta al por menor,Jack,137-237-337,37 Calle Principal,Villavicencio,Colómbia
35,100000035,Supermercado Exito,Venta al por menor,Ana,135-235-335,35 Calle Principal,Santa Marta,Colombia
39,100000039,Almacen Olímpica,Venta al por menor,Liam,139-239-339,39 Calle Principal,Neiva,Colómbia
37,100000037,Almacen Carulla,Venta al por menor,Jack,137-237-337,37 Calle Principal,Villavicencio,Colombia
41,100000041,Almacen D1,Venta al por menor,Catalina,141-241-341,41 Calle Principal,Valledupar,Colómbia
39,100000039,Almacen La 14,Venta al por menor,Liam,139-239-339,39 Calle Principal,Neiva,Colombia
43,100000043,Almacen Ara,Venta al por menor,Mia,143-243-343,43 Calle Principal,Quibdó,Colómbia
41,100000041,Almacen D1,Venta al por menor,Catalina,141-241-341,41 Calle Principal,Valledupar,Colombia
45,100000045,Supermercado Exito,Venta al por menor,Juan,145-245-345,45 Calle Principal,Florencia,Colómbia
46,100000046,Almacen Metro,Venta al por menor,Juana,146-246-346,46 Calle Principal,San Andrés,Colombia
47,100000047,Alkosto,Venta al por mayor,Roberto,147-247-347,47 Calle Principal,Medellin,Colómbia
45,100000045,Supermercado Exito,Venta al por menor,Juan,145-245-345,45 Calle Principal,Florencia,Colombia
49,100000049,Tiendas Olímpica,Venta al por menor,Alicia,149-249-349,49 Calle Principal,Cali,Colómbia
39,100000039,Almacen La 14,Venta al por menor,Liam,139-239-339,39 Calle Principal,Neiva,Colombia
