id,Nombre,fecha de creación,fecha de modificación,usuarioDecreacion,usuarioDemodificacion,estado,id_cliente
1,Electrónicos,2023-01-01,2023-01-01,User1,User1,Activo,1
2,Ropa,2023-01-02,2023-01-02,User2,User2,Activo,2
3,Libros,2023-01-03,2023-01-03,User3,User3,Activo,3
1,Electrónicos,2023-01-01,2023-01-01,User1,User1,Activo,4
5,Hogar,2023-01-05,2023-01-05,User5,User5,Activo,5
6,Deportes,2023-01-06,2023-01-06,User6,User6,Activo,6
7,Juguetes,2023-01-07,2023-01-07,User7,User7,Activo,7
5,Hogar,2023-01-05,2023-01-05,User5,User5,Activo,8
9,Belleza,2023-01-09,2023-01-09,User9,User9,Activo,9
10,Comida,2023-01-10,2023-01-10,User10,User10,Activo,10
11,Salud,2023-01-11,2023-01-11,User11,User11,Activo,11
9,Belleza,2023-01-09,2023-01-09,User9,User9,Activo,12
13,Electrónicos,2023-01-13,2023-01-13,User13,User13,Activo,13
14,Ropa,2023-01-14,2023-01-14,User14,User14,Activo,14
13,Electrónicos,2023-01-13,2023-01-13,User13,User13,Activo,15
16,Libros,2023-01-16,2023-01-16,User16,User16,Activo,16
17,Hogar,2023-01-17,2023-01-17,User17,User17,Activo,17
18,Deportes,2023-01-18,2023-01-18,User18,User18,Activo,18
19,Juguetes,2023-01-19,2023-01-19,User19,User19,Activo,19
17,Hogar,2023-01-17,2023-01-17,User17,User17,Activo,20
21,Electrónicos,2023-01-22,2023-01-22,User21,User21,Activo,21
22,Ropa,2023-01-23,2023-01-23,User22,User22,Activo,22
23,Libros,2023-01-24,2023-01-24,User23,User23,Activo,23
21,Alectrónicos,2023-01-22,2023-01-22,User21,User21,Activo,24
25,Hogar,2023-01-26,2023-01-26,User25,User25,Activo,25
26,Deportes,2023-01-27,2023-01-27,User26,User26,Activo,26
27,Juguetes,2023-01-28,2023-01-28,User27,User27,Activo,27
25,Hoga,2023-01-26,2023-01-26,User25,User25,Activo,28
29,Belleza,2023-01-30,2023-01-30,User29,User29,Activo,29
30,Comi,2023-01-01,2023-01-01,User30,User30,Activo,30
31,Electrónicos,2023-01-02,2023-01-02,User31,User31,Activo,31
29,Ballaza,2023-01-30,2023-01-30,User29,User29,Activo,32
33,Libros,2023-01-04,2023-01-04,User33,User33,Activo,33
31,Alectrónicos,2023-01-02,2023-01-02,User31,User31,Activo,34
35,Hogar,2023-01-06,2023-01-06,User35,User35,Activo,35
33,Libros,2023-01-04,2023-01-04,User33,User33,Activo,36
37,Juguetes,2023-01-08,2023-01-08,User37,User37,Activo,37
35,Hogar,2023-01-06,2023-01-06,User35,User35,Activo,38
39,Belleza,2023-01-10,2023-01-10,User39,User39,Activo,39
37,Juguetes,2023-01-08,2023-01-08,User37,User37,Activo,40
41,Comida,2023-01-12,2023-01-12,User41,User41,Activo,41
39,Ballaza,2023-01-10,2023-01-10,User39,User39,Activo,42
43,Salud,2023-01-14,2023-01-14,User43,User43,Activo,43
41,Comida,2023-01-12,2023-01-12,User41,User41,Activo,44
45,Entretenimiento,2023-01-16,2023-01-16,User45,User45,Activo,45
46,Bienes Raíces,2023-01-17,2023-01-17,User46,User46,Activo,46
47,Consultoría,2023-01-19,2023-01-19,User47,User47,Activo,47
45,Antretenimiento,2023-01-16,2023-01-16,User45,User45,Activo,48
49,Medios,2023-01-21,2023-01-21,User49,User49,Activo,49
49,Medios,2023-01-21,2023-01-21,User49,User49,Activo,50
1,Electrónicos,2023-01-01,2023-01-01,User1,User1,Activo,51
2,Ropa,2023-01-02,2023-01-02,User2,User2,Activo,52
3,Libros,2023-01-03,2023-01-03,User3,User3,Activo,53
5,Hogar,2023-01-05,2023-01-05,User5,User5,Activo,54
6,Deportes,2023-01-06,2023-01-06,User6,User6,Activo,55
7,Juguetes,2023-01-07,2023-01-07,User7,User7,Activo,56
9,Belleza,2023-01-09,2023-01-09,User9,User9,Activo,57
10,Comida,2023-01-10,2023-01-10,User10,User10,Activo,58
11,Salud,2023-01-11,2023-01-11,User11,User11,Activo,59
13,Electrónicos,2023-01-13,2023-01-13,User13,User13,Activo,60
14,Ropa,2023-01-14,2023-01-14,User14,User14,Activo,61
16,Libros,2023-01-16,2023-01-16,User16,User16,Activo,62
17,Hogar,2023-01-17,2023-01-17,User17,User17,Activo,63
18,Deportes,2023-01-18,2023-01-18,User18,User18,Activo,64
19,Juguetes,2023-01-19,2023-01-19,User19,User19,Activo,65
21,Electrónicos,2023-01-22,2023-01-22,User21,User21,Activo,66
22,Ropa,2023-01-23,2023-01-23,User22,User22,Activo,67
23,Libros,2023-01-24,2023-01-24,User23,User23,Activo,68
25,Hogar,2023-01-26,2023-01-26,User25,User25,Activo,69
26,Deportes,2023-01-27,2023-01-27,User26,User26,Activo,70
27,Juguetes,2023-01-28,2023-01-28,User27,User27,Activo,71
29,Belleza,2023-01-30,2023-01-30,User29,User29,Activo,72
30,Comida,2023-01-01,2023-01-01,User30,User30,Activo,73
31,Electrónicos,2023-01-02,2023-01-02,User31,User31,Activo,74
33,Libros,2023-01-04,2023-01-04,User33,User33,Activo,75
35,Hogar,2023-01-06,2023-01-06,User35,User35,Activo,76
37,Juguetes,2023-01-08,2023-01-08,User37,User37,Activo,77
39,Belleza,2023-01-10,2023-01-10,User39,User39,Activo,78
41,Comida,2023-01-12,2023-01-12,User41,User41,Activo,79
43,Salud,2023-01-14,2023-01-14,User43,User43,Activo,80
45,Entretenimiento,2023-01-16,2023-01-16,User45,User45,Activo,81
46,Bienes Raíces,2023-01-17,2023-01-17,User46,User46,Activo,82
47,Consultoría,2023-01-19,2023-01-19,User47,User47,Activo,83
49,Medios,2023-01-21,2023-01-21,User49,User49,Activo,84
21,Alectrónicos,2023-01-22,2023-01-22,User21,User21,Activo,85
25,Hoga,2023-01-26,2023-01-26,User25,User25,Activo,86
29,Ballaza,2023-01-30,2023-01-30,User29,User29,Activo,87
30,Comi,2023-01-01,2023-01-01,User30,User30,Activo,88
31,Alectrónicos,2023-01-02,2023-01-02,User31,User31,Activo,89
33,Libros,2023-01-04,2023-01-04,User33,User33,Activo,90
35,Hogar,2023-01-06,2023-01-06,User35,User35,Activo,91
37,Juguetes,2023-01-08,2023-01-08,User37,User37,Activo,92
39,Ballaza,2023-01-10,2023-01-10,User39,User39,Activo,93
41,Comida,2023-01-12,2023-01-12,User41,User41,Activo,94
45,Antretenimiento,2023-01-16,2023-01-16,User45,User45,Activo,95
49,Medios,2023-01-21,2023-01-21,User49,User49,Activo,96
49,Medios,2023-01-21,2023-01-21,User49,User49,Activo,97
1,Electrónicos,2023-01-01,2023-01-01,User1,User1,Activo,98
5,Hogar,2023-01-05,2023-01-05,User5,User5,Activo,99
99,Desconocido,2023-01-31,2023-01-31,User99,User99,Inactivo,100
